iter	Passed	Remaining
819	1937	425
820	1939	422
821	1942	420
822	1944	418
823	1946	415
824	1949	413
825	1951	411
826	1954	408
827	1957	406
828	1960	404
829	1963	402
830	1965	399
831	1969	397
832	1971	395
833	1975	393
834	1978	390
835	1981	388
836	1984	386
837	1987	384
838	1991	382
839	1994	379
840	1998	377
841	2000	375
842	2003	373
843	2006	370
844	2008	368
845	2012	366
846	2013	363
847	2015	361
848	2018	358
849	2020	356
850	2024	354
851	2025	351
852	2027	349
853	2030	347
854	2032	344
855	2035	342
856	2038	340
857	2040	337
858	2042	335
859	2045	332
860	2048	330
861	2051	328
862	2055	326
863	2057	323
864	2058	321
865	2061	318
866	2063	316
867	2066	314
868	2069	311
869	2070	309
870	2072	306
871	2074	304
872	2076	302
873	2077	299
874	2080	297
875	2082	294
876	2085	292
877	2088	290
878	2090	287
879	2092	285
880	2095	282
881	2097	280
882	2099	278
883	2101	275
884	2103	273
885	2105	270
886	2107	268
887	2110	266
888	2113	263
889	2115	261
890	2118	259
891	2119	256
892	2121	254
893	2124	251
894	2126	249
895	2130	247
896	2131	244
897	2132	242
898	2135	239
899	2139	237
900	2142	235
901	2147	233
902	2150	230
903	2153	228
904	2156	226
905	2159	224
906	2162	221
907	2163	219
908	2166	216
909	2169	214
910	2172	212
911	2175	209
912	2178	207
913	2180	205
914	2183	202
915	2186	200
916	2188	198
917	2189	195
918	2192	193
919	2195	190
920	2199	188
921	2203	186
922	2205	184
923	2208	181
924	2211	179
925	2213	176
926	2216	174
927	2219	172
928	2222	169
929	2224	167
930	2226	165
931	2229	162
932	2231	160
933	2234	157
934	2237	155
935	2240	153
936	2243	150
937	2245	148
938	2249	146
939	2251	143
940	2254	141
941	2256	138
942	2258	136
943	2261	134
944	2263	131
945	2266	129
946	2269	127
947	2273	124
948	2276	122
949	2279	119
950	2282	117
951	2285	115
952	2287	112
953	2289	110
954	2292	108
955	2294	105
956	2297	103
957	2299	100
958	2301	98
959	2304	96
960	2306	93
961	2309	91
962	2312	88
963	2314	86
964	2316	84
965	2319	81
966	2321	79
967	2323	76
968	2326	74
969	2329	72
970	2332	69
971	2336	67
972	2340	64
973	2343	62
974	2344	60
975	2345	57
976	2349	55
977	2351	52
978	2354	50
979	2356	48
980	2358	45
981	2362	43
982	2363	40
983	2367	38
984	2369	36
985	2371	33
986	2374	31
987	2377	28
988	2380	26
989	2382	24
990	2385	21
991	2387	19
992	2390	16
993	2393	14
994	2395	12
995	2398	9
996	2401	7
997	2403	4
998	2406	2
999	2408	0
